,News Org,Date,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Mon Jan 08 05:55:18 +0000 2018,China oil spill sparks fears of environmental disaster https://t.co/FhvXSbdwo3,-0.7845,0.0,0.504,0.496,1
1,BBC,Mon Jan 08 05:21:31 +0000 2018,Cardinal Pell: Man who made abuse allegation dies https://t.co/52ndskyYU6,-0.6369,0.0,0.656,0.344,2
2,BBC,Mon Jan 08 05:21:31 +0000 2018,Winter Olympics targeted by hackers says security firm https://t.co/PgIiXB2iyJ,0.34,0.231,0.769,0.0,3
3,BBC,Mon Jan 08 04:34:52 +0000 2018,"RT @BBCNewsAsia: #BTSARMY, this one's for you. 💕

What's in store for the princes of K-pop in 2018? https://t.co/a8AJEGnMwS

👨‍🎤👨‍🎤👨‍🎤👨‍🎤👨‍…",0.0,0.0,1.0,0.0,4
4,BBC,Mon Jan 08 04:08:44 +0000 2018,"RT @BBCBreaking: Three Billboards Outside Ebbing, Missouri wins 'Best Motion Picture - Drama'

#GoldenGlobes https://t.co/EYJJHWbjY6 https:…",0.836,0.378,0.622,0.0,5
5,BBC,Mon Jan 08 04:03:53 +0000 2018,"RT @BBCBreaking: Frances McDormand wins 'Best Actress in a Motion Picture - Drama' for her role in Three Billboards Outside Ebbing, Missour…",0.836,0.305,0.695,0.0,6
6,BBC,Mon Jan 08 03:53:58 +0000 2018,"RT @BBCBreaking: Gary Oldman wins 'Best Actor in a Motion Picture - Drama' 

#GoldenGlobes https://t.co/068UHmydVC https://t.co/aePg1yXPrl",0.836,0.397,0.603,0.0,7
7,BBC,Mon Jan 08 03:46:21 +0000 2018,"RT @BBCBreaking: Lady Bird wins 'Best Motion Picture - Comedy/Musical' 

#GoldenGlobes https://t.co/QrKvMydAKS https://t.co/8cBGj7mkcm",0.836,0.441,0.559,0.0,8
8,BBC,Mon Jan 08 03:38:11 +0000 2018,"RT @BBCBreaking: Saoirse Ronan wins 'Best Actress in a Comedy/Musical Motion Picture' for her role in Lady Bird

#GoldenGlobes https://t.co…",0.836,0.317,0.683,0.0,9
9,BBC,Mon Jan 08 03:34:06 +0000 2018,.@Oprah's acceptance speech for the Cecil B. DeMille Award at this year's #GoldenGlobes drew a standing ovation fro… https://t.co/CmO7nDRQpX,0.7579,0.289,0.711,0.0,10
10,BBC,Mon Jan 08 03:12:05 +0000 2018,"Heart attack care dangerously unequal for women, study finds https://t.co/om2OzlLrbX",-0.6486,0.181,0.339,0.48,11
11,BBC,Mon Jan 08 02:53:04 +0000 2018,"Laura Dern, winner of Best Supporting Actress for her role in @Big_Little_Lies, address sexual assault survivors in… https://t.co/xzehCnUiTy",0.7964,0.38,0.488,0.132,12
12,BBC,Mon Jan 08 02:50:08 +0000 2018,"RT @BBCBreaking: Ewan McGregor wins 'Best Actor in a Television Miniseries' for his role in Fargo

#GoldenGlobes https://t.co/Ow1hcEIybA ht…",0.836,0.331,0.669,0.0,13
13,BBC,Mon Jan 08 02:11:16 +0000 2018,"RT @BBCBreaking: James Franco wins 'Best Actor in a Comedy/Musical Motion Picture'

#GoldenGlobes https://t.co/9ws5IWhSCr https://t.co/bwSj…",0.836,0.397,0.603,0.0,14
14,BBC,Mon Jan 08 01:58:23 +0000 2018,Bitcoin blip https://t.co/EPXfAvFDmP,0.0,0.0,1.0,0.0,15
15,BBC,Mon Jan 08 01:57:36 +0000 2018,#GoldenGlobes: Actress Elisabeth Moss wins best actress in a drama series for her role in @handmaidsonhulu… https://t.co/hh9HYeX6rh,0.836,0.361,0.639,0.0,16
16,BBC,Mon Jan 08 01:03:48 +0000 2018,Plays behind bars https://t.co/K2Lx1O5qCs,0.25,0.4,0.6,0.0,17
17,BBC,Mon Jan 08 01:00:39 +0000 2018,Out of power https://t.co/INCQoUPxgd,0.0,0.0,1.0,0.0,18
18,BBC,Mon Jan 08 00:56:59 +0000 2018,Tattooist of Auschwitz https://t.co/uycegYsPx8,0.0,0.0,1.0,0.0,19
19,BBC,Mon Jan 08 00:49:20 +0000 2018,"Bigly, covfefe, sad! https://t.co/QJ8MnsPhvM",-0.5255,0.0,0.469,0.531,20
20,BBC,Mon Jan 08 00:45:50 +0000 2018,Child bride to wrestling star https://t.co/pJvS8sMkH6,0.0,0.0,1.0,0.0,21
21,BBC,Mon Jan 08 00:45:50 +0000 2018,Dubai to build new record-breaking skyscraper https://t.co/1bihFI529P,0.0,0.0,1.0,0.0,22
22,BBC,Mon Jan 08 00:34:44 +0000 2018,"A blackout on the Red Carpet for the 75th #GoldenGlobes:
Celebrities are dressed from head to toe in black to in su… https://t.co/ZRIkBTmMB8",0.0,0.0,1.0,0.0,23
23,BBC,Sun Jan 07 23:48:35 +0000 2018,Syria war: Explosion reportedly kills at least 23 in rebel-held Idlib https://t.co/tmLUnASoyN,-0.8126,0.0,0.575,0.425,24
24,BBC,Sun Jan 07 23:28:26 +0000 2018,Brazil drug lord accused of deadly jail riot seized https://t.co/XAbbeaCCvo,-0.7003,0.0,0.58,0.42,25
25,BBC,Sun Jan 07 19:02:10 +0000 2018,Israel dig unearths prehistoric 'paradise' https://t.co/AnliOKszrK,0.0,0.0,1.0,0.0,26
26,BBC,Sun Jan 07 18:24:10 +0000 2018,Ireland hosts festive tree throwing battle https://t.co/7upSKkFntg,0.1027,0.283,0.472,0.245,27
27,BBC,Sun Jan 07 17:28:47 +0000 2018,Fire and Fury: Trump allies dismiss 'fantasy book' https://t.co/nQK19Golof,-0.7269,0.0,0.534,0.466,28
28,BBC,Sun Jan 07 17:24:52 +0000 2018,Egypt's ex-PM backs out of Sisi challenge https://t.co/p7HUNkeugg,0.0258,0.153,0.706,0.141,29
29,BBC,Sun Jan 07 17:22:12 +0000 2018,"""The smoke is so thick... it's blocking out the sun"" - South Australia fire tears through farm land… https://t.co/dbVe4f9hPr",-0.7322,0.0,0.677,0.323,30
30,BBC,Sun Jan 07 16:27:02 +0000 2018,RT @BBC_HaveYourSay: Iranian unrest is unleashed on a new battleground https://t.co/asrfWWIyMd,-0.4019,0.0,0.769,0.231,31
31,BBC,Sun Jan 07 15:49:42 +0000 2018,Boris Becker responds to 'clearly racist' AfD tweet https://t.co/4fznvJB4Rs,-0.3182,0.197,0.511,0.292,32
32,BBC,Sun Jan 07 14:31:33 +0000 2018,Stockholm station blast: Man dies in 'hand grenade' explosion https://t.co/SOey7jyCea,0.4939,0.262,0.738,0.0,33
33,BBC,Sun Jan 07 14:07:11 +0000 2018,Snowing or glowing? https://t.co/em8Ks1aGPZ,0.0,0.0,1.0,0.0,34
34,BBC,Sun Jan 07 13:41:09 +0000 2018,A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,0.5859,0.487,0.513,0.0,35
35,BBC,Sun Jan 07 13:22:38 +0000 2018,"France Gall was ""a timeless icon of French song"", said Culture Minister Françoise Nyssen 

https://t.co/K6KF7MENGv https://t.co/RgjBp9otcH",0.0,0.0,1.0,0.0,36
36,BBC,Sun Jan 07 13:14:18 +0000 2018,"France Gall, French popstar who shot to fame in 1960s, dies https://t.co/K6KF7MENGv",0.4404,0.209,0.791,0.0,37
37,BBC,Sun Jan 07 12:05:16 +0000 2018,Myanmar Rohingya militants Arsa vow to fight on after attack https://t.co/YRLUPuWRee,-0.6908,0.0,0.612,0.388,38
38,BBC,Sun Jan 07 12:01:36 +0000 2018,Syria war: Russia thwarts drone attack on Hmeimim airbase https://t.co/h9j08xm0Xh,-0.8126,0.0,0.455,0.545,39
39,BBC,Sun Jan 07 11:37:34 +0000 2018,Cyber battle on the streets https://t.co/3hJGVBmk9t,-0.3818,0.0,0.658,0.342,40
40,BBC,Sun Jan 07 11:33:52 +0000 2018,"A dinghy carrying people attempting to reach Europe has sunk off the coast of Libya 

https://t.co/sai3mXIi8p https://t.co/ie0r4Q3Kwh",0.0258,0.068,0.932,0.0,41
41,BBC,Sun Jan 07 11:20:36 +0000 2018,Orthodox Christmas marked in Russia and Egypt https://t.co/tVQz1gmaLm,0.0,0.0,1.0,0.0,42
42,BBC,Sun Jan 07 10:16:24 +0000 2018,French President Emmanuel Macron lays a wreath to commemorate the 12 victims of 2015 Charlie Hebdo attack… https://t.co/dyhTN5jB6v,-0.3182,0.0,0.874,0.126,43
43,BBC,Sun Jan 07 09:55:53 +0000 2018,"RT @MarrShow: ""What I make of him is somebody who is taking decisions on what he believes is in the best interests of the United States"" PM…",0.8402,0.281,0.719,0.0,44
44,BBC,Sun Jan 07 09:05:07 +0000 2018,'Pioneer' astronaut John Young dies https://t.co/sxFinSANUi,0.0,0.0,1.0,0.0,45
45,BBC,Sun Jan 07 08:27:47 +0000 2018,"RT @BBCSteveR: Russian Christmas at the church down the road: burning incense, candles &amp; a church so full that some worshippers had to stan…",0.2023,0.076,0.924,0.0,46
46,BBC,Sun Jan 07 07:13:23 +0000 2018,Sydney swelters in hottest day since 1939 as mercury hits 47.3C https://t.co/LpOZcdN8fD,0.0,0.0,1.0,0.0,47
47,BBC,Sun Jan 07 06:32:31 +0000 2018,Tanker and ship collision near Shanghai leaves 32 missing https://t.co/CS22X78nuL,-0.5719,0.0,0.63,0.37,48
48,BBC,Sun Jan 07 05:39:44 +0000 2018,Germany coalition: Merkel courts SPD as pivotal talks begin https://t.co/OvX3pUJ7cw,0.0,0.0,1.0,0.0,49
49,BBC,Sun Jan 07 04:38:37 +0000 2018,Golden Globes: Sex scandal fallout expected to dominate Hollywood awards https://t.co/oNJovSEtte,-0.1027,0.195,0.519,0.286,50
50,BBC,Sun Jan 07 03:01:48 +0000 2018,New life for Rome's 'baldy' Christmas tree Spelacchio https://t.co/IwEcZfnd9F,0.0,0.0,1.0,0.0,51
51,BBC,Sun Jan 07 02:41:44 +0000 2018,Peru ex-leader Fujimori calls for unity after release https://t.co/ItBxBmOXuq,0.0,0.0,1.0,0.0,52
52,BBC,Sun Jan 07 01:19:30 +0000 2018,Merkel's last chance? https://t.co/JEtNSxcdYs,0.25,0.4,0.6,0.0,53
53,BBC,Sun Jan 07 01:04:10 +0000 2018,Mine's bigger https://t.co/cpgsEYTtzs,0.0,0.0,1.0,0.0,54
54,BBC,Sun Jan 07 01:00:35 +0000 2018,Death by selfie https://t.co/nr2lwSnMGr,-0.5994,0.0,0.435,0.565,55
55,BBC,Sun Jan 07 00:40:20 +0000 2018,Jerry Van Dyke: Coach actor and comedian dies at 86 https://t.co/ydaaPMMRXt,0.0,0.183,0.634,0.183,56
56,BBC,Sun Jan 07 00:25:15 +0000 2018,French posties deliver friendship https://t.co/pnHPZsHwKs,0.4404,0.42,0.58,0.0,57
57,BBC,Sun Jan 07 00:25:15 +0000 2018,'How I found out I was black' https://t.co/sxXI2PGf1x,0.0,0.0,1.0,0.0,58
58,BBC,Sun Jan 07 00:12:56 +0000 2018,AfroPunk's homecoming https://t.co/9rt7Nkl7ej,0.0,0.0,1.0,0.0,59
59,BBC,Sun Jan 07 00:08:50 +0000 2018,From no-go to hot spot https://t.co/q9lqGsylYu,0.0,0.0,1.0,0.0,60
60,BBC,Sat Jan 06 21:49:42 +0000 2018,Casamance: Thirteen dead in attack in restive Senegalese region https://t.co/QhRY2KKC6e,-0.8126,0.0,0.519,0.481,61
61,BBC,Sat Jan 06 19:59:11 +0000 2018,"John Young, US astronaut and pioneer, dies aged 87 https://t.co/jGgeBNp2KS",0.0,0.0,1.0,0.0,62
62,BBC,Sat Jan 06 18:46:36 +0000 2018,Philippe Coutinho: Liverpool agree £142m deal with Barcelona for Brazil midfielder https://t.co/xJt9Rl89DK,0.3612,0.185,0.815,0.0,63
63,BBC,Sat Jan 06 17:54:06 +0000 2018,Fire and Fury: Trump says book is 'a work of fiction' https://t.co/rdaJNezUd1,-0.7269,0.0,0.621,0.379,64
64,BBC,Sat Jan 06 17:53:23 +0000 2018,RT @BBCSport: Liverpool have agreed a £142m deal with Barcelona for Philippe Coutinho - it will be the second most expensive transfer of al…,0.2732,0.091,0.909,0.0,65
65,BBC,Sat Jan 06 17:46:46 +0000 2018,Saudi princes 'arrested for holding anti-austerity protest' https://t.co/0VIQubDjzd,-0.6249,0.0,0.541,0.459,66
66,BBC,Sat Jan 06 17:35:08 +0000 2018,"US President Donald Trump on planned talks between North and South Korea: ""Without my tough stance... they wouldn't… https://t.co/1R0quaY9zt",-0.128,0.0,0.923,0.077,67
67,BBC,Sat Jan 06 17:32:56 +0000 2018,Migrants drown as dinghy sinks off Libya coast https://t.co/fDRY6ZhpQT,-0.5719,0.0,0.684,0.316,68
68,BBC,Sat Jan 06 17:20:59 +0000 2018,"RT @BBCBreaking: ""I went to the best college, I was a very excellent student... the author is a fraud"" - US President Donald Trump speaks o…",0.659,0.264,0.613,0.123,69
69,BBC,Sat Jan 06 16:52:27 +0000 2018,German and Turkish officials vow to end spat https://t.co/gOBKn78h6E,0.0,0.0,1.0,0.0,70
70,BBC,Sat Jan 06 13:55:51 +0000 2018,"Iran protests: Students 'among more than 1,000 arrested' https://t.co/0gXvwCiz82",-0.6444,0.0,0.571,0.429,71
71,BBC,Sat Jan 06 13:41:52 +0000 2018,"Syria war: Hospitals being targeted, aid workers say https://t.co/J8EJq6cPGT",-0.5994,0.0,0.672,0.328,72
72,BBC,Sat Jan 06 13:38:00 +0000 2018,"North Korea 'likely' to attend Olympics in South, says official https://t.co/c5AIPCHq33",0.0,0.0,1.0,0.0,73
73,BBC,Sat Jan 06 12:51:14 +0000 2018,Explosion as two planes collide in Toronto Pearson https://t.co/TxnF54AEsE,-0.0772,0.0,0.86,0.14,74
74,BBC,Sat Jan 06 12:39:27 +0000 2018,"A passenger captures the dramatic moment his plane collides with another aircraft, sparking a fire… https://t.co/Ipg1MdcA8U",-0.2732,0.0,0.861,0.139,75
75,BBC,Sat Jan 06 12:18:59 +0000 2018,Trump and Republicans push 2018 plans amid Wolff book row https://t.co/W7oMhC5nYZ,0.0,0.0,1.0,0.0,76
76,BBC,Sat Jan 06 11:58:15 +0000 2018,The world's most obese man's attempt to lose weight https://t.co/aTtdhwZfJU,-0.4019,0.0,0.769,0.231,77
77,BBC,Sat Jan 06 10:50:48 +0000 2018,Kuwait City stadium barrier collapse injures 40 football fans https://t.co/Y3lBaLljna,-0.5719,0.0,0.63,0.37,78
78,BBC,Sat Jan 06 10:09:19 +0000 2018,RT @BBCSteveR: A curious find in a Moscow bookshop: Vladimir Putin's family history going back to the 1600s. Includes a giant family tree y…,0.3182,0.103,0.897,0.0,79
79,BBC,Sat Jan 06 09:59:30 +0000 2018,"This dog is making the most of the snow, all on her own ❄️🐶🛷

https://t.co/rlGFCrN2WL https://t.co/L3kelJvKOy",0.0,0.0,1.0,0.0,80
80,BBC,Sat Jan 06 09:19:08 +0000 2018,"Cars frozen in Revere, Massachusetts' floodwaters https://t.co/cQoqVOYQ70",0.0,0.0,1.0,0.0,81
81,BBC,Sat Jan 06 08:32:59 +0000 2018,"RT @BBCr4today: Donald Trump has branded him a ""total loser"" and accused him of making up stories, but @MichaelWolffNYC believes his book c…",-0.4215,0.0,0.84,0.16,82
82,BBC,Sat Jan 06 07:53:45 +0000 2018,United Airlines plane forced to land due to passenger's faeces https://t.co/7yLlQXKYcB,-0.0516,0.189,0.608,0.203,83
83,BBC,Sat Jan 06 06:32:48 +0000 2018,Turkish President Erdogan berates French journalist https://t.co/pyd3sZoPUq,0.0,0.0,1.0,0.0,84
84,BBC,Sat Jan 06 02:07:13 +0000 2018,Plane evacuated after Toronto airport collision https://t.co/Zq58b9iKOO,-0.3612,0.0,0.706,0.294,85
85,BBC,Sat Jan 06 01:39:39 +0000 2018,US imposes more sanctions on Venezuelans https://t.co/jPmMh0kXqx,-0.1027,0.0,0.811,0.189,86
86,BBC,Sat Jan 06 01:23:31 +0000 2018,Saudi Arabia gives handout to compensate for new tax https://t.co/Ld18tTXEbD,0.0,0.0,1.0,0.0,87
87,BBC,Sat Jan 06 00:20:04 +0000 2018,Cat and mouse https://t.co/TAeSSEIyhw,0.0,0.0,1.0,0.0,88
88,BBC,Sat Jan 06 00:12:34 +0000 2018,#MeToo moment https://t.co/99g3Sdl4ch,0.0,0.0,1.0,0.0,89
89,BBC,Sat Jan 06 00:08:40 +0000 2018,Late goal https://t.co/iHp7CzidS7,0.0,0.0,1.0,0.0,90
90,BBC,Fri Jan 05 23:31:15 +0000 2018,Trump: Tillerson 'never questioned' president's mental health https://t.co/MmrUCq2c23,0.0762,0.156,0.844,0.0,91
91,BBC,Fri Jan 05 23:08:44 +0000 2018,"RT @BBCNorthAmerica: You don't know cold until you've been to Mount Washington, New Hampshire

https://t.co/cJ9In0mt7O https://t.co/58tOwBE…",0.0,0.0,1.0,0.0,92
92,BBC,Fri Jan 05 22:55:02 +0000 2018,'World's most expensive vodka' found on Danish building site https://t.co/8gstrqbYTV,0.0,0.0,1.0,0.0,93
93,BBC,Fri Jan 05 22:30:38 +0000 2018,Mexico: Five human heads found on Veracruz taxi bonnet https://t.co/Lrv0qAbjhm,0.0,0.0,1.0,0.0,94
94,BBC,Fri Jan 05 21:34:46 +0000 2018,Russia berates US for UN meeting on Iran https://t.co/lxEX40Gnm9,0.0,0.0,1.0,0.0,95
95,BBC,Fri Jan 05 21:31:39 +0000 2018,"RT @BBCBreaking: Russia mounts fierce criticism of US for convening UN Security Council over Iran protests that are"" internal affair"" https…",-0.34,0.095,0.714,0.19,96
96,BBC,Fri Jan 05 20:46:54 +0000 2018,Dog 'lay beside dead owner for weeks' in Hungary flat https://t.co/MFEEsJspL0,-0.6486,0.0,0.699,0.301,97
97,BBC,Fri Jan 05 20:43:00 +0000 2018,Clinton Foundation investigated by Justice Department https://t.co/rP6L2U9Sy2,0.5267,0.362,0.638,0.0,98
98,BBC,Fri Jan 05 20:39:05 +0000 2018,Frozen waterfalls form on China's Tianmen Mountain https://t.co/Orffy5kXUT,0.0,0.0,1.0,0.0,99
99,BBC,Fri Jan 05 20:07:15 +0000 2018,Mount Washington winds will make it feel like -90F https://t.co/bGtr4otsjG,0.3612,0.217,0.783,0.0,100
100,New York Times,Mon Jan 08 05:50:44 +0000 2018,"In an 11,500-year-old skeleton found in Alaska, scientists have found new clues to how people first arrived in the… https://t.co/HrX9q2fbZY",0.0,0.0,1.0,0.0,1
101,New York Times,Mon Jan 08 05:35:18 +0000 2018,"As Trump Appeals to Farmers, Some of His Policies Don’t https://t.co/5wHodB1Gwl",0.0,0.0,1.0,0.0,2
102,New York Times,Mon Jan 08 05:23:55 +0000 2018,"The experience was overwhelming, confusing (where are their parents?) and educational. Here’s what the sneaker expe… https://t.co/iz3enR4n5C",-0.2263,0.0,0.894,0.106,3
103,New York Times,Mon Jan 08 05:09:35 +0000 2018,"In an ancient burial pit in Alaska, scientists have found new clues to how people first arrived in the Americas fro… https://t.co/xjQZgJNlF1",0.0,0.0,1.0,0.0,4
104,New York Times,Mon Jan 08 04:52:06 +0000 2018,"Debra Messing, live on E!, chastised E! https://t.co/jcWr4yyKd6",-0.5837,0.0,0.649,0.351,5
105,New York Times,Mon Jan 08 04:28:03 +0000 2018,"Natalie Portman: ""And here are the all-male nominees"" https://t.co/SlTDj01NI7",0.0,0.0,1.0,0.0,6
106,New York Times,Mon Jan 08 04:18:00 +0000 2018,A full transcript of Oprah Winfrey's Golden Globes speech: https://t.co/Tvmp3xJDpO https://t.co/84WdtTcWnq,0.0,0.0,1.0,0.0,7
107,New York Times,Mon Jan 08 04:16:50 +0000 2018,The complete list of winners at the 2018 Golden Globes https://t.co/Bl9qcHIOZg,0.4767,0.237,0.763,0.0,8
108,New York Times,Mon Jan 08 04:11:40 +0000 2018,"""Three Billboards"" and ""Lady Bird"" won the top movie awards at the Golden Globes, and Oprah Winfrey jolted the crow… https://t.co/irHWXYldIx",0.8176,0.321,0.679,0.0,9
109,New York Times,Mon Jan 08 04:07:49 +0000 2018,"Not everyone has been pleased with the Golden Globes success of ""Three Billboards Outside Ebbing, Missouri"" https://t.co/vAI40YiPYc",0.765,0.306,0.694,0.0,10
110,New York Times,Mon Jan 08 04:06:29 +0000 2018,"The NYT review of ""Three Billboards Outside Ebbing, Missouri,"" which just won a Golden Globe for best drama https://t.co/N9AQ06BKEl",0.836,0.331,0.669,0.0,11
111,New York Times,Mon Jan 08 04:02:02 +0000 2018,"Frances McDormand, in 2017: ""I’m not an actor because I want my picture taken. I’m an actor because I want to be pa… https://t.co/yUNPt4nLx9",0.1531,0.115,0.885,0.0,12
112,New York Times,Mon Jan 08 03:53:04 +0000 2018,Photos: We sent a Pulitzer-prize winning photographer to capture the realities of the Golden Globes red carpet… https://t.co/SnHpnV2pWN,0.5267,0.175,0.825,0.0,13
113,New York Times,Mon Jan 08 03:45:41 +0000 2018,"In most films, girls exist to be looked at. But in Greta Gerwig’s ""Lady Bird,"" the girl is the one who looks. From… https://t.co/Hcii8NtPQb",0.0,0.0,1.0,0.0,14
114,New York Times,Mon Jan 08 03:44:23 +0000 2018,"The NYT review of ""Lady Bird,"" which just won a Golden Globe for best comedy/musical https://t.co/TctuZGKtlA",0.836,0.378,0.622,0.0,15
115,New York Times,Mon Jan 08 03:36:07 +0000 2018,"RT @nytimesarts: Saoirse Ronan wins the Golden Globe for best actress in a movie, comedy/musical for ""Lady Bird""",0.836,0.345,0.655,0.0,16
116,New York Times,Mon Jan 08 03:31:38 +0000 2018,"Reese Witherspoon: ""People out there who are feeling silenced – we see you, we hear you and we will tell your story"" https://t.co/rgbbntDM54",0.128,0.067,0.933,0.0,17
117,New York Times,Mon Jan 08 03:28:37 +0000 2018,"Southern mothers. Brown lipstick. Red Vines. ""Big Little Lies."" https://t.co/W2sHiMzvyv",0.0,0.0,1.0,0.0,18
118,New York Times,Mon Jan 08 03:27:50 +0000 2018,"The NYT review of ""The Shape of Water,"" for which Guillermo del Toro just won a Golden Globe… https://t.co/064UzoybD2",0.5719,0.179,0.821,0.0,19
119,New York Times,Mon Jan 08 03:17:10 +0000 2018,"Recy Taylor died weeks after the release of a documentary about her. Here's NYT's review of ""The Rape of Recy Taylo… https://t.co/hXk64n3L0h",-0.8519,0.0,0.696,0.304,20
120,New York Times,Mon Jan 08 03:13:44 +0000 2018,"Recy Taylor, who Oprah just mentioned, was gang-raped by 6 white men in 1944, in a case that galvanized the early c… https://t.co/AoMOdSLWKi",0.0,0.0,1.0,0.0,21
121,New York Times,Mon Jan 08 03:12:48 +0000 2018,"Oprah: ""I want tonight to express gratitude to all the women who have endured years of abuse and assault"" https://t.co/iIBrsJRmc2",-0.6597,0.161,0.559,0.28,22
122,New York Times,Mon Jan 08 03:10:04 +0000 2018,A running list of winners of the Golden Globes https://t.co/gDif32Vrf7,0.4767,0.279,0.721,0.0,23
123,New York Times,Mon Jan 08 03:03:56 +0000 2018,"Hi, Oprah https://t.co/BeLNbIckxg",0.0,0.0,1.0,0.0,24
124,New York Times,Mon Jan 08 02:59:49 +0000 2018,Sterling K. Brown became the first black man to win a Golden Globe for for best actor in a television drama https://t.co/XzA5nCs8ck,0.8402,0.308,0.692,0.0,25
125,New York Times,Mon Jan 08 02:57:13 +0000 2018,"From 2017: For Aziz Ansari, “Master of None” is deeply personal. Season 2 was even more ambitious than the first. https://t.co/1wfRIu3DIg",0.5256,0.152,0.848,0.0,26
126,New York Times,Mon Jan 08 02:55:02 +0000 2018,Did you hear the one about the housewife who walks into a comedy club? It just won a Golden Globe. https://t.co/IcR6bvJb7k,0.7351,0.267,0.733,0.0,27
127,New York Times,Mon Jan 08 02:47:23 +0000 2018,Review: It turns out it was harder for Ryan Seacrest and Giuliana Rancic to pivot from clothes to crises than they… https://t.co/opeFDDiYkT,0.0,0.0,1.0,0.0,28
128,New York Times,Mon Jan 08 02:39:05 +0000 2018,It took only 4 minutes for Harvey Weinstein to be booed at the 75th Golden Globes. https://t.co/kCxGLoPlle,0.0,0.0,1.0,0.0,29
129,New York Times,Mon Jan 08 02:26:58 +0000 2018,A full transcript of Seth Meyer's Golden Globes monologue https://t.co/SLeaAkQLYr,0.0,0.0,1.0,0.0,30
130,New York Times,Mon Jan 08 02:24:18 +0000 2018,"RT @nytimesarts: ""Coco"" was the story of my life: our readers share reactions to Pixar’s film, which just won a Golden Globe https://t.co/c…",0.7096,0.228,0.772,0.0,31
131,New York Times,Mon Jan 08 02:24:02 +0000 2018,"Miss Golden Globe is no more.
Long live the Golden Globe Ambassador. https://t.co/EkyRRfzHA4",-0.4215,0.0,0.743,0.257,32
132,New York Times,Mon Jan 08 02:21:31 +0000 2018,"The NYT review of ""Coco,"" which just won a Golden Globe https://t.co/YhhH6L3Er1",0.5719,0.27,0.73,0.0,33
133,New York Times,Mon Jan 08 02:16:07 +0000 2018,"""With that deeply Franco speech, we’re learning that, for white men, the theme of night might be #ThemToo."" —… https://t.co/AMgByYiAEA",0.0,0.0,1.0,0.0,34
134,New York Times,Mon Jan 08 02:14:31 +0000 2018,RT @sgoood: Tommy Wiseau on the Golden Globes stage? Of course! https://t.co/QOETvLnqan,0.0,0.0,1.0,0.0,35
135,New York Times,Mon Jan 08 02:10:13 +0000 2018,"Oh, hi Mark! https://t.co/ZZrAgTISvL",0.0,0.0,1.0,0.0,36
136,New York Times,Mon Jan 08 02:09:40 +0000 2018,"James Franco, on playing Tommy Wiseau: ""I could relate to the story, as insane as it was, because it was a story ab… https://t.co/4nsHr9TaUD",-0.2263,0.071,0.824,0.106,37
137,New York Times,Mon Jan 08 02:07:34 +0000 2018,We asked Golden Globes nominees about sexism. Here's what they said. https://t.co/Kvt27yJ7VJ,0.0,0.0,1.0,0.0,38
138,New York Times,Mon Jan 08 02:03:25 +0000 2018,@yashar The caption has long since been updated to properly acknowledge the wonderful Rita Moreno… https://t.co/GyYKMhgs8k,0.5719,0.198,0.802,0.0,39
139,New York Times,Mon Jan 08 02:02:45 +0000 2018,A running list of winners of the Golden Globes https://t.co/JSqjCG3OKO,0.4767,0.279,0.721,0.0,40
140,New York Times,Mon Jan 08 02:00:02 +0000 2018,@itsgabrielleu The caption has since been updated to acknowledge QUEEN Rita Moreno https://t.co/YSr4G1EOOg https://t.co/tA1sNvRgxj,0.0,0.0,1.0,0.0,41
141,New York Times,Mon Jan 08 01:52:14 +0000 2018,RT @jodikantor: A new kind of red carpet pic. https://t.co/Ylb8P74YVM https://t.co/NMz8mQUSr4,0.0,0.0,1.0,0.0,42
142,New York Times,Mon Jan 08 01:46:25 +0000 2018,"""The Handmaid's Tale"" just won the Golden Globe for best TV drama series https://t.co/ZsPY9uRuF2",0.836,0.397,0.603,0.0,43
